authtypecode	tagfield	liblibrarian	libopac	repeatable	mandatory	authorised_value
	000	Record Label	Record Label	0	1	NULL
	001	Record Identifier	Record Identifier	0	1	
	005	Version Identifier	Version Identifier	0	0	
	015	International Standard Authority Data Number (ISADN)	International Standard Authority Data Number (ISADN)	0	0	
	035	Other System Control Number	Other System Control Number	0	0	
	100	General Processing Data	General Processing Data	0	1	
	101	Language of the Entity	Language of the Entity	0	0	
	102	Nationality of the Entity	Nationality of the Entity	0	0	
	106	Coded Data Field: Personal/Coroprate/Family Name/Trademark Used as Subject Heading	Coded Data Field: Personal/Coroprate/Family Name/Trademark Used as Subject Heading	0	0	
	120	Coded Data Field: Personal Name	Coded Data Field: Personal Name	0	0	
	123	Coded Data Field: Territorial or Geographical Name	Coded Data Field: Territorial or Geographical Name	1	0	
	150	Coded Data Field: Corporate Name	Coded Data Field: Corporate Name	0	0	
	152	Rules	Rules	0	0	
	154	Coded Data Field: Uniform Titles	Coded Data Field: Uniform Titles	0	0	
	160	Geographic Area Code	Geographic Area Code	0	0	
	200	Heading - Personal Name	Heading - Personal Name	1	0	
	210	Heading - Corporate Body Name	Heading - Corporate Body Name	1	0	
	215	Heading - Territorial or Geographical Name	Heading - Territorial or Geographical Name	1	0	
	216	Heading - Trademark	Heading - Trademark	1	0	
	220	Heading - Family Name	Heading - Family Name	1	0	
	230	Heading - Uniform Title	Heading - Uniform Title	1	0	
	235	Heading - Collective Uniform Title	Heading - Collective Uniform Title	0	0	
	240	Heading - Name/Title	Heading - Name/Title	1	0	
	245	Heading - Name/Collective Uniform Title	Heading - Name/Collective Uniform Title	0	0	
	250	Heading - Topical Subject	Heading - Topical Subject	1	0	
	260	Heading - Place Access	Heading - Place Access	1	0	
	280	Heading - Form, Genre or Physical Characteristics	Heading - Form, Genre or Physical Characteristics	0	0	
	300	Information Note	Information Note	1	0	
	305	Textual See Also Reference Note	Textual See Also Reference Note	1	0	
	310	Textual See Reference Note	Textual See Reference Note	1	0	
	320	General Explanatory Reference Note	General Explanatory Reference Note	1	0	
	330	General Scope Note	General Scope Note	1	0	
	340	Biography and Activity Note	Biography and Activity Note	1	0	
	356	Geographical Note	Geographical Note	0	0	
	400	See Reference Tracing - Personal Name	See Reference Tracing - Personal Name	0	0	
	410	See Reference Tracing - Corporate Body Name	See Reference Tracing - Corporate Body Name	1	0	
	415	See Reference Tracing - Territorial or Geographical Name	See Reference Tracing - Territorial or Geographical Name	0	0	
	416	See Reference Tracing - Trademark	See Reference Tracing - Trademark	1	0	
	420	See Reference Tracing - Family Name	See Reference Tracing - Family Name	1	0	
	430	See Reference Tracing - Uniform Title	See Reference Tracing - Uniform Title	1	0	
	440	See Reference Tracing - Name/Title	See Reference Tracing - Name/Title	0	0	
	445	See Reference Tracing - Name/Collective Uniform Title	See Reference Tracing - Name/Collective Uniform Title	1	0	
	450	See Reference Tracing - Topical Subject	See Reference Tracing - Topical Subject	1	0	
	460	See Reference Tracing - Place Access	See Reference Tracing - Place Access	1	0	
	480	See Reference Tracing - Form Genre or Physical Characteristics	See Reference Tracing - Form Genre or Physical Characteristics	0	0	
	500	See Also Reference Tracing - Personal Name	See Also Reference Tracing - Personal Name	1	0	
	510	See Also Reference Tracing - Corporate Body Name	See Also Reference Tracing - Corporate Body Name	1	0	
	515	See Also Reference Tracing - Territorial or Geographical Name	See Also Reference Tracing - Territorial or Geographical Name	1	0	
	516	See Also Reference Tracing - Trademark	See Also Reference Tracing - Trademark	1	0	
	520	See Also Reference Tracing - Family Name	See Also Reference Tracing - Family Name	1	0	
	530	See Also Reference Tracing - Uniform Title	See Also Reference Tracing - Uniform Title	1	0	
	540	See Also Reference Tracing - Name/Title	See Also Reference Tracing - Name/Title	1	0	
	545	See Also Reference Tracing - Name/Collective Uniform Title	See Also Reference Tracing - Name/Collective Uniform Title	1	0	
	550	See Also Reference Tracing - Topical Subject	See Also Reference Tracing - Topical Subject	1	0	
	560	See Also Reference Tracing - Place Access	See Also Reference Tracing - Place Access	1	0	
	580	See Also Reference Tracing - Form, Genre or Physical Characteristics	See Also Reference Tracing - Form, Genre or Physical Characteristics	1	0	
	675	Universal Decimal Classification (UDC)	Universal Decimal Classification (UDC)	1	0	
	676	Dewey Decimal Classification (DDC)	Dewey Decimal Classification (DDC)	1	0	
	680	Library of Congress Classification (LCC)	Library of Congress Classification (LCC)	1	0	
	686	Other Classification Numbers	Other Classification Numbers	1	0	
	700	Linking Heading - Personal Name	Linking Heading - Personal Name	1	0	
	710	Linking Heading - Corporate Body Name	Linking Heading - Corporate Body Name	1	0	
	715	Linking Heading - Territorial or Geographical Name	Linking Heading - Territorial or Geographical Name	1	0	
	716	Linking Heading - Trademark	Linking Heading - Trademark	1	0	
	720	Linking Heading - Family Name	Linking Heading - Family Name	1	0	
	730	Linking Heading - Uniform Title	Linking Heading - Uniform Title	1	0	
	740	Linking Heading - Name/title	Linking Heading - Name/title	1	0	
	745	Linking Heading - Name/Collective Uniform Title	Linking Heading - Name/Collective Uniform Title	1	0	
	750	Linking Heading - Topical Subject	Linking Heading - Topical Subject	1	0	
	760	Linking Heading - Place Access	Linking Heading - Place Access	1	0	
	780	Linking Heading - Form, Genre or Physical Characteristics	Linking Heading - Form, Genre or Physical Characteristics	1	0	
	801	Originating Source	Originating Source	0	0	
	810	Source Data Found	Source Data Found	1	0	
	815	Source Data Not Found	Source Data Not Found	0	0	
	820	Usage or Scope Information	Usage or Scope Information	1	0	
	825	Example Under Note	Example Under Note	1	0	
	830	General Cataloguer&#039s Note	General Cataloguer&#039s Note	1	0	
	835	Deleted Heading Information	Deleted Heading Information	1	0	
	836	Replaced Heading Information	Replaced Heading Information	1	0	
	856	Electronic Location and Access	Electronic Location and Access	1	0	
	886	Data Not Connected From Source Format	Data Not Connected From Source Format	1	0	
